                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3216,                 3.9247,                 1.7086,                 0.0034,                   0.95,                0.01375,                0.00622,                 1.2088,                 4.2346,                 1.6443,              1.667e-05,              1.667e-05,              1.667e-05
                      1,                 1.0541,                 3.2435,                 1.5251,                 0.5805,                   0.55,                0.60833,                0.45079,                0.88883,                 5.8194,                 1.3023,              4.836e-05,              4.836e-05,              4.836e-05
                      2,                0.82518,                 1.9582,                 1.2966,                0.56796,                    0.7,                0.65104,                0.44772,                0.75811,                 10.815,                 1.1674,             7.7849e-05,             7.7849e-05,             7.7849e-05
                      3,                0.59641,                 2.0201,                 1.1123,                0.62866,                   0.35,                0.44323,                0.30708,                0.84827,                 6.0403,                  1.209,             0.00010514,             0.00010514,             0.00010514
                      4,                0.58737,                 1.7759,                 1.1242,                0.52134,                   0.75,                0.70515,                0.44375,                 1.0771,                 4.1082,                 1.5336,             0.00013023,             0.00013023,             0.00013023
                      5,                0.53772,                 1.2034,                 1.0199,                 0.5792,                   0.85,                0.64606,                0.42487,                 1.1917,                   3.53,                 1.6639,             0.00015311,             0.00015311,             0.00015311
                      6,                0.66682,                 1.3155,                  1.129,                0.58376,                   0.75,                0.62856,                0.36996,                  1.196,                   4.37,                 1.6956,              0.0001738,              0.0001738,              0.0001738
                      7,                 0.4877,                  1.048,                 1.0085,                0.42486,                0.73896,                0.62478,                0.33228,                 1.4976,                 7.1274,                  2.096,             0.00019229,             0.00019229,             0.00019229
                      8,                0.47182,                 1.0014,                 1.0044,                0.40748,                   0.65,                0.58347,                0.27376,                 1.5257,                 8.2805,                 2.2306,             0.00020858,             0.00020858,             0.00020858
                      9,                 0.6465,                 1.0554,                 1.0518,                0.35038,                    0.6,                0.51875,                0.26283,                 1.3956,                 6.9968,                 2.1099,             0.00022266,             0.00022266,             0.00022266
                     10,                0.55548,                0.97101,                 1.0476,                0.27412,                    0.5,                 0.3623,                0.18022,                  1.504,                 6.3276,                 2.2091,             0.00023455,             0.00023455,             0.00023455
                     11,                0.54578,                0.85728,                  1.031,                0.36594,                   0.55,                0.43647,                0.23336,                 1.5427,                 6.3633,                 2.2961,             0.00024423,             0.00024423,             0.00024423
                     12,                0.58683,                0.83606,                 1.0922,                 0.3308,                    0.6,                 0.5464,                0.28768,                 1.4453,                 8.8784,                 2.1817,             0.00025172,             0.00025172,             0.00025172
                     13,                0.50572,                0.81843,                  1.024,                0.26255,                0.55187,                0.45772,                0.22308,                 1.6182,                 10.476,                 2.4245,               0.000257,               0.000257,               0.000257
                     14,                0.53941,                0.84781,                 1.0529,                0.40291,                   0.45,                0.34208,                 0.1744,                  1.709,                 7.8809,                  2.687,             0.00026009,             0.00026009,             0.00026009
                     15,                0.62145,                0.86189,                 1.0763,                0.44118,                   0.45,                0.36314,                0.12152,                 1.8777,                 8.7438,                 2.9017,             0.00026097,             0.00026097,             0.00026097
                     16,                0.58622,                0.83037,                 1.1119,                0.33073,                   0.55,                0.39805,                0.13217,                 1.8878,                 9.4299,                 3.0444,             0.00025965,             0.00025965,             0.00025965
                     17,                0.67087,                0.92411,                 1.0959,                0.26159,                    0.4,                0.34247,                0.11181,                 1.9537,                 11.364,                 3.1509,             0.00025613,             0.00025613,             0.00025613
                     18,                0.47271,                0.71742,                 0.9947,                0.26363,                   0.45,                0.46344,                0.14617,                 1.8348,                 8.8213,                 2.7723,             0.00025042,             0.00025042,             0.00025042
                     19,                0.46914,                0.81451,                0.97784,                0.44577,                   0.45,                0.42272,                0.23196,                 1.6158,                 5.6679,                 2.4429,              0.0002425,              0.0002425,              0.0002425
                     20,                 0.5797,                 1.1345,                 1.1446,                0.61543,                   0.45,                0.41385,                0.20247,                 1.5975,                 4.3732,                  2.323,             0.00023238,             0.00023238,             0.00023238
                     21,                0.53536,                 1.0959,                0.97447,                0.68214,                   0.35,                0.33361,                0.20892,                 1.7134,                 4.5188,                 2.4821,             0.00022006,             0.00022006,             0.00022006
