                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8774,                 3.7951,                 2.0562,                  8e-05,                      1,                0.00085,                0.00019,                0.29619,                 181.39,                0.29169,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 1.6095,                 3.9825,                 1.9086,                  8e-05,                      1,                0.00576,                0.00135,                0.12044,                 178.57,                0.17873,             0.00012012,             0.00012012,             0.00012012
                      3,                 1.0631,                 3.2236,                 1.4157,                  8e-05,                      1,                0.00405,                0.00316,                0.19042,                  177.1,                0.25925,             0.00017365,             0.00017365,             0.00017365
                      4,                 1.2222,                 3.5197,                 1.4828,                  8e-05,                      1,                0.00773,                0.00405,                0.14269,                 176.85,                0.20723,             0.00021775,             0.00021775,             0.00021775
                      5,                 1.2025,                 2.9413,                  1.481,                  8e-05,                      1,                0.01593,                0.01256,                 0.1179,                 173.52,                0.18071,             0.00025242,             0.00025242,             0.00025242
                      6,                 1.0956,                 4.3505,                 1.5572,                  7e-05,                      1,                0.00748,                0.00643,                0.16492,                  169.5,                0.22206,             0.00027765,             0.00027765,             0.00027765
                      7,                 1.1166,                 3.5836,                 1.6021,                  6e-05,                      1,                0.00331,                0.00093,                0.25208,                 166.55,                0.24616,             0.00029346,             0.00029346,             0.00029346
                      8,                 1.0892,                 4.3105,                 1.5409,                  6e-05,                      1,                0.00493,                0.00288,                0.26347,                 165.67,                0.26765,             0.00029983,             0.00029983,             0.00029983
                      9,                 1.0046,                 3.4947,                  1.401,                  6e-05,                      1,                0.03081,                0.01751,                0.17428,                 165.55,                0.20093,             0.00029677,             0.00029677,             0.00029677
                     10,                0.94343,                 3.0778,                 1.3337,                  6e-05,                      1,                0.04814,                0.02854,                0.15992,                  166.8,                0.19368,             0.00028429,             0.00028429,             0.00028429
                     11,                0.90757,                 2.7058,                 1.4051,                  6e-05,                      1,                0.03347,                0.01676,                0.15275,                 167.78,                0.19216,             0.00026236,             0.00026236,             0.00026236
                     12,                 1.4725,                 4.6935,                 1.9351,                  6e-05,                      1,                0.01412,                0.00985,                0.11606,                 168.41,                0.15837,             0.00023101,             0.00023101,             0.00023101
                     13,                  0.912,                 2.7199,                 1.3924,                  6e-05,                      1,                0.00957,                 0.0067,                0.09402,                 168.87,                0.14896,             0.00019023,             0.00019023,             0.00019023
                     14,                0.85733,                 2.6284,                  1.313,                  6e-05,                      1,                0.00663,                0.00586,                0.09793,                 169.14,                0.14997,             0.00014001,             0.00014001,             0.00014001
                     15,                0.81991,                 2.5937,                 1.2618,                  6e-05,                      1,                0.00598,                0.00534,                0.09561,                 170.09,                0.15576,             8.0367e-05,             8.0367e-05,             8.0367e-05
